"stories_id","language","title","publish_date","url"
"477900179","en","
	How Islamic State overtook al Qaeda
      ","2016-06-14 14:53:30","http://www.dailymail.co.uk/wires/reuters/article-3641578/How-Islamic-State-overtook-al-Qaeda.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490"
"477908126","en","Voices: The danger of ISIL-inspired lone wolves","2016-06-14 14:43:50","http://rssfeeds.usatoday.com/~/158759764/0/usatodaycomnation-topstories~Voices-The-danger-of-ISILinspired-lone-wolves/"
"477982806","en","Trump takes aim at Clinton over immigration, hits her on women's and LGBT rights","2016-06-14 20:58:55","https://www.washingtonpost.com/news/post-politics/wp/2016/06/14/trump-takes-aim-at-clinton-over-immigration-hits-her-on-womens-and-lgbt-rights/"
"478319202","en","What ISIS Is Saying About the Orlando Shooter","2016-06-15 14:00:00","http://www.vice.com/read/what-isis-is-saying-about-the-orlando-shooter"
"478332994","en","Clinton to Trump: Muslim ban, wall wouldn't have stopped Orlando","2016-06-15 15:49:32","http://www.nydailynews.com/news/politics/clinton-trump-muslim-ban-wall-stopped-orlando-article-1.2675222"
"478335063","en","Lone wolves are a global dilemma: David Andelman","2016-06-15 13:58:41","http://rssfeeds.usatoday.com/~/158937266/0/news-opinion~Lone-wolves-are-a-global-dilemma-David-Andelman/"
"478464778","en","Trump: I’d Host Kim at White House","2016-06-16 01:00:00","http://feedproxy.google.com/~r/thedailybeast/articles/~3/pSA21bSC2xA/trump-says-he-d-host-kim-jong-un-at-white-house-who-the-hell-cares.html"
"478508374","en","Editorial: The N.R.A.&#x2019;s Complicity in Terrorism","2016-06-16 03:21:18","http://www.nytimes.com/2016/06/16/opinion/the-nras-complicity-in-terrorism.html?partner=rss&emc=rss"
"478703064","en","Can Muslims Be Americans?","2016-06-16 12:01:17","http://www.slate.com/articles/news_and_politics/politics/2016/06/muslim_assimilation_is_challenging_and_fraught_donald_trump_is_making_it.html"
"478740016","en","House passes bills to combat radicalization of Americans by terrorists","2016-06-15 21:40:58","http://rssfeeds.usatoday.com/~/159133684/0/usatoday-newstopstories~House-passes-bills-to-combat-radicalization-of-Americans-by-terrorists/"
"479139478","en","Scaling back veterans' preference; diplomats push for stronger action in Syria; and ISIS still a threat","2016-06-17 12:59:43","https://www.washingtonpost.com/news/powerpost/wp/2016/06/17/scaling-back-veterans-preference-diplomats-push-for-stronger-action-in-syria-and-isis-still-a-threat/"
"479205139","en","
	Police couple killer seen with aborted church attack suspect -source
      ","2016-06-17 16:10:42","http://www.dailymail.co.uk/wires/reuters/article-3647393/Police-couple-killer-seen-aborted-church-attack-suspect-source.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490"
"479233795","en","Mr. Trump’s rhetorical poison is trickling into America’s schools","2016-06-17 18:31:32","https://www.washingtonpost.com/opinions/mr-trumps-poisonous-attacks-hit-home/2016/06/17/4fb78e1a-340c-11e6-8ff7-7b6c1998b7a0_story.html"
